experiment_id,candidate_id,strategy_family,score,accepted,validation_cagr,sharpe,max_drawdown,stop_reason
trend_momentum-858a74443d02c8b9-20260911T192821802883Z-949db543,trend_momentum-858a74443d02c8b9,trend_momentum,0.49538301,False,0.004686741422509799,0.16526294708000092,-0.07302517956147137,CANDIDATE_EVALUATED
trend_momentum-858a74443d02c8b9-20260911T193902562062Z-9fd60fbc,trend_momentum-858a74443d02c8b9,trend_momentum,0.49538301,False,0.004686741422509799,0.16526294708000092,-0.07302517956147137,CANDIDATE_EVALUATED
trend_momentum-62cb39d3af1ddd4b-20260911T192724275507Z-62deef48,trend_momentum-62cb39d3af1ddd4b,trend_momentum,0.41740806,False,0.0026252920660119194,0.17444371116211368,-0.03710999143473903,CANDIDATE_EVALUATED
trend_momentum-62cb39d3af1ddd4b-20260911T193817900005Z-069ffbfd,trend_momentum-62cb39d3af1ddd4b,trend_momentum,0.41740806,False,0.0026252920660119194,0.17444371116211368,-0.03710999143473903,CANDIDATE_EVALUATED
trend_momentum-0f8b11846edacef6-20260911T192726461460Z-adf5b4f6,trend_momentum-0f8b11846edacef6,trend_momentum,0.10552704,False,0.0024869573908667952,0.16037633920724345,-0.039369427917996136,CANDIDATE_EVALUATED
trend_momentum-0f8b11846edacef6-20260911T193819532488Z-28121352,trend_momentum-0f8b11846edacef6,trend_momentum,0.10552704,False,0.0024869573908667952,0.16037633920724345,-0.039369427917996136,CANDIDATE_EVALUATED
trend_momentum-3eaad4ebc064227e-20260911T192703100226Z-53e9f28d,trend_momentum-3eaad4ebc064227e,trend_momentum,-0.70640416,False,0.0018465813006012244,0.1262429801374183,-0.04606623387108355,CANDIDATE_EVALUATED
trend_momentum-3eaad4ebc064227e-20260911T193801367364Z-7316417b,trend_momentum-3eaad4ebc064227e,trend_momentum,-0.70640416,False,0.0018465813006012244,0.1262429801374183,-0.04606623387108355,CANDIDATE_EVALUATED
trend_momentum-b69e52485f4f64ef-20260911T192817408512Z-cd56148b,trend_momentum-b69e52485f4f64ef,trend_momentum,-0.74107615,False,0.0033101557878991716,0.11183414286560231,-0.07689475437267101,CANDIDATE_EVALUATED
trend_momentum-b69e52485f4f64ef-20260911T193859428668Z-2230de78,trend_momentum-b69e52485f4f64ef,trend_momentum,-0.74107615,False,0.0033101557878991716,0.11183414286560231,-0.07689475437267101,CANDIDATE_EVALUATED
trend_momentum-928c9e104361807f-20260911T192719919097Z-af6795ec,trend_momentum-928c9e104361807f,trend_momentum,-0.85013369,False,0.0018793026135661695,0.11498208720966355,-0.03943860513355524,CANDIDATE_EVALUATED
trend_momentum-928c9e104361807f-20260911T193814669596Z-ff16aaec,trend_momentum-928c9e104361807f,trend_momentum,-0.85013369,False,0.0018793026135661695,0.11498208720966355,-0.03943860513355524,CANDIDATE_EVALUATED
trend_momentum-ac47659a114bd02e-20260911T192800238237Z-efbd28f8,trend_momentum-ac47659a114bd02e,trend_momentum,-0.89202361,False,0.0029217581118641256,0.109765451985413,-0.09088943524693538,CANDIDATE_EVALUATED
trend_momentum-ac47659a114bd02e-20260911T193846151566Z-b481087f,trend_momentum-ac47659a114bd02e,trend_momentum,-0.89202361,False,0.0029217581118641256,0.109765451985413,-0.09088943524693538,CANDIDATE_EVALUATED
trend_momentum-4982a5ea108f9871-20260911T192644447007Z-e43add87,trend_momentum-4982a5ea108f9871,trend_momentum,-1.55104314,False,0.0012269916401481673,0.08657820334780868,-0.04731580169945371,CANDIDATE_EVALUATED
trend_momentum-4982a5ea108f9871-20260911T193745728860Z-ee29626c,trend_momentum-4982a5ea108f9871,trend_momentum,-1.55104314,False,0.0012269916401481673,0.08657820334780868,-0.04731580169945371,CANDIDATE_EVALUATED
trend_momentum-4586449b6bd9be00-20260911T151547228371Z-9fd3f6a3,trend_momentum-4586449b6bd9be00,trend_momentum,-1.6216156,False,0.0012085422755616637,0.081536905949845,-0.04200648880458879,CANDIDATE_EVALUATED
trend_momentum-4586449b6bd9be00-20260911T192638236822Z-b2dee92a,trend_momentum-4586449b6bd9be00,trend_momentum,-1.6216156,False,0.0012085422755616637,0.081536905949845,-0.04200648880458879,CANDIDATE_EVALUATED
trend_momentum-4586449b6bd9be00-20260911T193740253781Z-9f0b484e,trend_momentum-4586449b6bd9be00,trend_momentum,-1.6216156,False,0.0012085422755616637,0.081536905949845,-0.04200648880458879,CANDIDATE_EVALUATED
trend_momentum-422913900a41200b-20260911T192734726359Z-a2ee2f7f,trend_momentum-422913900a41200b,trend_momentum,-1.65855804,False,0.0019361007702969335,0.07560595513468484,-0.08251947782321578,CANDIDATE_EVALUATED
trend_momentum-422913900a41200b-20260911T193826285576Z-44c20956,trend_momentum-422913900a41200b,trend_momentum,-1.65855804,False,0.0019361007702969335,0.07560595513468484,-0.08251947782321578,CANDIDATE_EVALUATED
trend_momentum-953a9f8d1bd59d2a-20260911T192722169294Z-27d0479c,trend_momentum-953a9f8d1bd59d2a,trend_momentum,-1.76836042,False,0.0010384435477066578,0.07545889324672464,-0.04181371166391512,CANDIDATE_EVALUATED
trend_momentum-953a9f8d1bd59d2a-20260911T193816266291Z-7a64c323,trend_momentum-953a9f8d1bd59d2a,trend_momentum,-1.76836042,False,0.0010384435477066578,0.07545889324672464,-0.04181371166391512,CANDIDATE_EVALUATED
trend_momentum-fccf14c63c0aa401-20260911T192741023287Z-a98f139f,trend_momentum-fccf14c63c0aa401,trend_momentum,-1.76964212,False,0.001752654497265027,0.07214034184953248,-0.09312481114288007,CANDIDATE_EVALUATED
trend_momentum-fccf14c63c0aa401-20260911T193831219301Z-33c26e3d,trend_momentum-fccf14c63c0aa401,trend_momentum,-1.76964212,False,0.001752654497265027,0.07214034184953248,-0.09312481114288007,CANDIDATE_EVALUATED
trend_momentum-9cb02af426f81637-20260911T192656875543Z-36ea8747,trend_momentum-9cb02af426f81637,trend_momentum,-1.84186543,False,0.0010354369576768274,0.07110064223101784,-0.041038463787458346,CANDIDATE_EVALUATED
trend_momentum-9cb02af426f81637-20260911T193756424800Z-6157a9f1,trend_momentum-9cb02af426f81637,trend_momentum,-1.84186543,False,0.0010354369576768274,0.07110064223101784,-0.041038463787458346,CANDIDATE_EVALUATED
trend_momentum-9dd4b25b42dd13b4-20260911T192819576668Z-c30aad6c,trend_momentum-9dd4b25b42dd13b4,trend_momentum,-1.98313148,False,0.001436085270971832,0.06240121425994675,-0.0825965527277418,CANDIDATE_EVALUATED
trend_momentum-9dd4b25b42dd13b4-20260911T193901015932Z-ea388155,trend_momentum-9dd4b25b42dd13b4,trend_momentum,-1.98313148,False,0.001436085270971832,0.06240121425994675,-0.0825965527277418,CANDIDATE_EVALUATED
trend_momentum-fa7caff8eb8498d1-20260911T192753951609Z-46c6f51f,trend_momentum-fa7caff8eb8498d1,trend_momentum,-5.25395682,False,0.0015704534558713679,0.0643745401345718,-0.08060060526707846,CANDIDATE_EVALUATED
trend_momentum-fa7caff8eb8498d1-20260911T193841230782Z-7471c51c,trend_momentum-fa7caff8eb8498d1,trend_momentum,-5.25395682,False,0.0015704534558713679,0.0643745401345718,-0.08060060526707846,CANDIDATE_EVALUATED
trend_momentum-ebfdbf85b8244322-20260911T192715711177Z-f75ca8e0,trend_momentum-ebfdbf85b8244322,trend_momentum,-5.453424,False,0.0008224825761424803,0.05841563148441951,-0.04169090728892766,CANDIDATE_EVALUATED
trend_momentum-ebfdbf85b8244322-20260911T193811347667Z-da2b0b8f,trend_momentum-ebfdbf85b8244322,trend_momentum,-5.453424,False,0.0008224825761424803,0.05841563148441951,-0.04169090728892766,CANDIDATE_EVALUATED
trend_momentum-1ef91c82423e5291-20260911T192813017834Z-b871645d,trend_momentum-1ef91c82423e5291,trend_momentum,-5.55857283,False,0.001152140218205977,0.051691673613086214,-0.08175922379217682,CANDIDATE_EVALUATED
trend_momentum-1ef91c82423e5291-20260911T193855947551Z-8167f9df,trend_momentum-1ef91c82423e5291,trend_momentum,-5.55857283,False,0.001152140218205977,0.051691673613086214,-0.08175922379217682,CANDIDATE_EVALUATED
